ip, port
109.236.124.16,8080
109.196.127.35,8888
109.236.113.3,8080
178.151.149.227,80
31.131.67.76,8080
91.210.192.194,8080
46.16.226.10,8080
194.154.74.210,8080
80.188.79.138,8080
188.169.123.210,8080
212.200.126.13,8080
83.241.46.175,8080
218.56.132.158,8080
137.74.254.198,3128
200.10.67.163,8080
202.43.113.78,8080
61.91.54.42,8080
124.120.73.167,8888
124.158.9.32,3128
223.19.212.30,80
193.227.49.83,8080
2.49.102.145,8118
203.70.11.186,80
123.84.13.240,8118
1.179.189.217,8080
47.89.53.92,3128
82.209.49.200,8080
80.1.116.80,80
